Title,URL,Sentence,Label,Score
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,Governments and central banks were trying to contain the catastrophe.,Social,0.942280829
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"And I wasn't sleeping well, tangled up in covering the carnage at Bloomberg News.",Social,0.98031795
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Oct. 31, 2008, is also when the Bitcoin white paper came out – now 15 years ago to the day.",Environmental,0.973696113
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Ensconced in traditional finance, I didn't notice the cryptocurrency revolution had begun, nor had the rest of what we now call TradFi; the financial system appeared to be burning down, after all – we were busy.",Social,0.93858844
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Satoshi Nakamoto's paper didn't explicitly say: The world needs a peer-to-peer system to move money around to replace Wall Street giants because they can't be trusted, they're falling apart, etc.",Social,0.917603552
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Crypto prices soared – like, really soared – as idealists who embraced the idea of decentralization and cutting out middlemen in finance harnessed Satoshi's ideas, made them real and extended them.",Social,0.940963447
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Wall Street and the rest of TradFi started paying attention – trying to move conventional financial operations onto blockchains and trading ""digital assets,"" their genteel term for cryptocurrencies.",Social,0.926757872
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Today, we find ourselves at an ironic moment.",Social,0.938781321
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"These titans of finance are increasingly driving a space that, to many, was designed to put them out of business.",Social,0.965501249
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"BlackRock and other ETF providers look poised to be – assuming regulators permit these products, and there are reasons to think they'll have to – the new bitcoin whales.",Social,0.930695117
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"In other words, a business with roots in the 19th century and agricultural commodities like corn and pork bellies, and one of the key spots in all of traditional finance, is a major player in crypto trading.",Social,0.906213701
